,count,key,month,satellite,vis_median,year
116,831,kerala-thiruvananthapuram,9,F10,2.0909,1993
117,982,kerala-palakkad,9,F10,-0.2903,1993
118,474,kerala-kannur,9,F10,0.8060,1993
119,547,kerala-ernakulam,9,F10,0.8088,1993
120,611,kerala-kozhikode,9,F10,1.1200,1993
121,610,kerala-alappuzha,9,F10,2.1719,1993
122,669,kerala-kottayam,9,F10,0.0909,1993
123,264,kerala-wayanad,9,F10,0.1055,1993
124,918,kerala-kollam,9,F10,3.1200,1993
125,437,kerala-idukki,9,F10,0.1200,1993
126,440,kerala-kollam,10,F10,2.4828,1993
127,577,kerala-thiruvananthapuram,10,F10,2.3594,1993
128,171,kerala-ernakulam,10,F10,2.1098,1993
129,217,kerala-wayanad,10,F10,-1.6818,1993
130,377,kerala-kasaragod,10,F10,-2.0103,1993
131,222,kerala-idukki,10,F10,0.1702,1993
132,610,kerala-malappuram,10,F10,-2.0103,1993
133,672,kerala-thrissur,10,F10,0.1098,1993
134,235,kerala-pathanamthitta,10,F10,1.3333,1993
135,305,kerala-kottayam,10,F10,1.1098,1993
136,524,kerala-palakkad,10,F10,-0.6406,1993
137,211,kerala-alappuzha,10,F10,3.1098,1993
138,330,kerala-kannur,10,F10,-2.2857,1993
139,405,kerala-kozhikode,10,F10,-2.2857,1993
140,448,kerala-kollam,11,F10,2.8611,1993
141,1003,kerala-kozhikode,11,F10,-0.2947,1993
142,1412,kerala-palakkad,11,F10,-0.5684,1993
143,965,kerala-kannur,11,F10,-0.9157,1993
144,1536,kerala-thrissur,11,F10,1.0843,1993
145,638,kerala-thiruvananthapuram,11,F10,1.7423,1993
146,359,kerala-alappuzha,11,F10,2.1356,1993
147,253,kerala-kottayam,11,F10,0.9895,1993
148,457,kerala-wayanad,11,F10,-0.7079,1993
149,259,kerala-pathanamthitta,11,F10,1.2921,1993
150,442,kerala-ernakulam,11,F10,2.2921,1993
151,1243,kerala-malappuram,11,F10,0.0000,1993
152,359,kerala-idukki,11,F10,0.0370,1993
153,1444,kerala-kasaragod,11,F10,-1.1951,1993
154,1505,kerala-ernakulam,12,F10,3.7674,1993
155,3598,kerala-thrissur,12,F10,1.5000,1993
156,1016,kerala-wayanad,12,F10,-0.2500,1993
157,1749,kerala-kannur,12,F10,-0.2326,1993
158,1231,kerala-kottayam,12,F10,1.2151,1993
159,872,kerala-pathanamthitta,12,F10,1.4805,1993
160,2565,kerala-palakkad,12,F10,0.7500,1993
161,1884,kerala-kozhikode,12,F10,0.7500,1993
162,1158,kerala-kollam,12,F10,2.4903,1993
163,1093,kerala-alappuzha,12,F10,2.2151,1993
164,844,kerala-idukki,12,F10,0.7674,1993
165,2317,kerala-kasaragod,12,F10,-0.1348,1993
166,2448,kerala-malappuram,12,F10,0.4607,1993
167,1143,kerala-thiruvananthapuram,12,F10,1.7500,1993
168,1467,kerala-kollam,1,F10,3.6429,1994
169,1493,kerala-thiruvananthapuram,1,F10,2.8333,1994
170,1657,kerala-ernakulam,1,F10,3.2418,1994
171,1038,kerala-idukki,1,F10,0.2418,1994
172,2620,kerala-kasaragod,1,F10,0.0101,1994
173,4433,kerala-thrissur,1,F10,2.1170,1994
174,2662,kerala-malappuram,1,F10,0.5111,1994
175,3089,kerala-palakkad,1,F10,1.0526,1994
176,1020,kerala-pathanamthitta,1,F10,2.8454,1994
177,1528,kerala-kottayam,1,F10,2.5065,1994
178,1294,kerala-alappuzha,1,F10,4.2418,1994
179,1713,kerala-kannur,1,F10,0.1170,1994
180,1903,kerala-kozhikode,1,F10,0.2083,1994
181,927,kerala-wayanad,1,F10,-0.4624,1994
182,2010,kerala-kozhikode,2,F10,0.0238,1994
183,871,kerala-pathanamthitta,2,F10,0.5882,1994
184,2863,kerala-kasaragod,2,F10,-0.5333,1994
185,1949,kerala-kannur,2,F10,-0.1809,1994
186,2677,kerala-malappuram,2,F10,0.1294,1994
187,1046,kerala-alappuzha,2,F10,1.8588,1994
188,1355,kerala-kollam,2,F10,2.3382,1994
189,1341,kerala-thiruvananthapuram,2,F10,2.3382,1994
190,1390,kerala-ernakulam,2,F10,1.9552,1994
191,1215,kerala-kottayam,2,F10,0.3382,1994
192,1110,kerala-wayanad,2,F10,-0.6513,1994
193,2890,kerala-palakkad,2,F10,0.5326,1994
194,801,kerala-idukki,2,F10,-0.9268,1994
195,3839,kerala-thrissur,2,F10,1.0732,1994
196,3718,kerala-thrissur,3,F10,2.8901,1994
197,2006,kerala-kasaragod,3,F10,0.8511,1994
198,1084,kerala-idukki,3,F10,1.0645,1994
199,1541,kerala-kozhikode,3,F10,1.3125,1994
200,1385,kerala-kannur,3,F10,0.5588,1994
201,1546,kerala-alappuzha,3,F10,4.2903,1994
202,2660,kerala-palakkad,3,F10,2.2840,1994
203,2056,kerala-malappuram,3,F10,1.4730,1994
204,1714,kerala-kottayam,3,F10,2.2927,1994
205,1276,kerala-pathanamthitta,3,F10,3.0645,1994
206,837,kerala-wayanad,3,F10,0.5588,1994
207,1592,kerala-ernakulam,3,F10,3.8511,1994
208,1698,kerala-thiruvananthapuram,3,F10,3.8901,1994
209,1831,kerala-kollam,3,F10,4.0000,1994
210,1364,kerala-palakkad,4,F10,-0.6889,1994
211,1096,kerala-kannur,4,F10,0.2466,1994
212,1199,kerala-thiruvananthapuram,4,F10,-0.6889,1994
213,1028,kerala-kozhikode,4,F10,0.4667,1994
214,574,kerala-ernakulam,4,F10,1.4486,1994
215,291,kerala-idukki,4,F10,1.3111,1994
216,1780,kerala-thrissur,4,F10,-1.4217,1994
217,864,kerala-kollam,4,F10,-1.8621,1994
218,445,kerala-pathanamthitta,4,F10,1.3111,1994
219,534,kerala-kottayam,4,F10,2.3733,1994
220,554,kerala-wayanad,4,F10,-0.3939,1994
221,1785,kerala-kasaragod,4,F10,-0.2254,1994
222,1372,kerala-malappuram,4,F10,-0.4762,1994
223,530,kerala-alappuzha,4,F10,1.3111,1994
224,513,kerala-wayanad,5,F10,0.8261,1994
225,954,kerala-kollam,5,F10,4.8261,1994
226,916,kerala-ernakulam,5,F10,4.9844,1994
227,771,kerala-kannur,5,F10,0.9844,1994
228,1309,kerala-palakkad,5,F10,1.8261,1994
229,1322,kerala-malappuram,5,F10,1.7931,1994
230,985,kerala-kozhikode,5,F10,1.5733,1994
231,420,kerala-idukki,5,F10,0.8864,1994
232,1120,kerala-thiruvananthapuram,5,F10,3.6094,1994
233,1317,kerala-kasaragod,5,F10,0.4648,1994
234,588,kerala-kottayam,5,F10,3.2500,1994
235,1851,kerala-thrissur,5,F10,3.0896,1994
236,719,kerala-alappuzha,5,F10,6.5733,1994
237,527,kerala-pathanamthitta,5,F10,3.9844,1994
238,602,kerala-ernakulam,6,F10,-0.1304,1994
239,511,kerala-kasaragod,6,F10,0.9545,1994
240,501,kerala-alappuzha,6,F10,-1.1304,1994
241,616,kerala-kollam,6,F10,-0.4868,1994
242,473,kerala-kottayam,6,F10,-0.4737,1994
243,165,kerala-wayanad,6,F10,0.5000,1994
244,763,kerala-malappuram,6,F10,0.5000,1994
245,245,kerala-kannur,6,F10,1.5000,1994
246,387,kerala-kozhikode,6,F10,1.5000,1994
247,364,kerala-idukki,6,F10,2.0000,1994
248,967,kerala-palakkad,6,F10,-0.1304,1994
249,647,kerala-thiruvananthapuram,6,F10,0.8696,1994
250,1356,kerala-thrissur,6,F10,-0.5000,1994
251,395,kerala-pathanamthitta,6,F10,-1.0455,1994
252,414,kerala-alappuzha,7,F10,3.6071,1994
253,770,kerala-thiruvananthapuram,7,F10,4.6071,1994
254,669,kerala-palakkad,7,F10,2.2000,1994
255,265,kerala-malappuram,7,F10,1.9524,1994
256,905,kerala-thrissur,7,F10,2.9500,1994
257,359,kerala-kottayam,7,F10,2.0000,1994
258,738,kerala-kollam,7,F10,4.2566,1994
259,128,kerala-wayanad,7,F10,2.9500,1994
260,165,kerala-kannur,7,F10,1.2500,1994
261,330,kerala-kasaragod,7,F10,1.2105,1994
262,95,kerala-kozhikode,7,F10,-0.7368,1994
