,count,key,month,satellite,vis_median,year
97,16176,orissa-khordha,4,F10,-0.7358,1993
98,13694,orissa-kendrapara,4,F10,-0.5283,1993
99,20616,orissa-sundargarh,4,F10,-1.2222,1993
100,23216,orissa-koraput,4,F10,-1.7358,1993
101,8438,orissa-bhadrak,4,F10,-0.5581,1993
102,8046,orissa-debagarh,4,F10,-1.5581,1993
103,17110,orissa-kendujhar,4,F10,-1.5581,1993
104,15679,orissa-nayagarh,4,F10,-1.2222,1993
105,8482,orissa-dhenkanal,4,F10,-0.3585,1993
106,19367,orissa-balangir,4,F10,-1.1569,1993
107,8795,orissa-nuapada,4,F10,-1.1569,1993
108,27366,orissa-ganjam,4,F10,-1.5581,1993
109,23958,orissa-rayagada,4,F10,-2.0133,1993
110,4264,orissa-jharsuguda,4,F10,-0.8980,1993
111,10212,orissa-subarnapur,4,F10,-1.3509,1993
112,16071,orissa-bargarh,4,F10,-1.2069,1993
113,17224,orissa-cuttack,4,F10,-0.2222,1993
114,15894,orissa-anugul,4,F10,-1.2833,1993
115,11555,orissa-jajapur,4,F10,-0.1569,1993
116,16588,orissa-baleshwar,4,F10,-1.3509,1993
117,14107,orissa-gajapati,4,F10,-2.3585,1993
118,15767,orissa-malkangiri,4,F10,-1.2222,1993
119,11499,orissa-nabarangapur,4,F10,-1.1569,1993
120,19655,orissa-anugul,5,F10,-0.2069,1993
121,13869,orissa-khordha,5,F10,0.4167,1993
122,14604,orissa-nayagarh,5,F10,-0.6875,1993
123,25915,orissa-kandhamal,5,F10,-0.8824,1993
124,8117,orissa-nabarangapur,5,F10,-0.7742,1993
125,21109,orissa-rayagada,5,F10,-1.5263,1993
126,12475,orissa-dhenkanal,5,F10,-0.2000,1993
127,12179,orissa-baudh,5,F10,-0.6875,1993
128,22847,orissa-baleshwar,5,F10,0.2174,1993
129,31161,orissa-mayurbhanj,5,F10,0.1176,1993
130,18769,orissa-kalahandi,5,F10,-1.3256,1993
131,15453,orissa-kendrapara,5,F10,0.1176,1993
132,13538,orissa-gajapati,5,F10,-1.3256,1993
133,9971,orissa-subarnapur,5,F10,-0.5263,1993
134,15121,orissa-sambalpur,5,F10,-0.7742,1993
135,14722,orissa-bargarh,5,F10,-0.5263,1993
136,9584,orissa-malkangiri,5,F10,-1.2000,1993
137,24368,orissa-ganjam,5,F10,-0.5714,1993
138,19915,orissa-cuttack,5,F10,0.3125,1993
139,8370,orissa-debagarh,5,F10,-0.7742,1993
140,4437,orissa-jharsuguda,5,F10,0.2174,1993
141,20997,orissa-kendujhar,5,F10,-0.2069,1993
142,15694,orissa-koraput,5,F10,-1.3256,1993
143,13696,orissa-jagatsinghapur,5,F10,0.1176,1993
144,7346,orissa-nuapada,5,F10,-0.7826,1993
145,16285,orissa-puri,5,F10,0.3125,1993
146,12873,orissa-bhadrak,5,F10,0.0000,1993
147,17751,orissa-balangir,5,F10,-0.7742,1993
148,21259,orissa-sundargarh,5,F10,-0.3256,1993
149,17788,orissa-jajapur,5,F10,0.2174,1993
150,3252,orissa-subarnapur,6,F10,0.1875,1993
151,4894,orissa-kendujhar,6,F10,0.0000,1993
152,14052,orissa-gajapati,6,F10,-0.4000,1993
153,20875,orissa-rayagada,6,F10,-0.5000,1993
154,6041,orissa-dhenkanal,6,F10,0.1875,1993
155,4795,orissa-baudh,6,F10,0.0000,1993
156,10077,orissa-koraput,6,F10,-0.2857,1993
157,2717,orissa-sundargarh,6,F10,0.4167,1993
158,5033,orissa-malkangiri,6,F10,-0.5000,1993
159,8112,orissa-anugul,6,F10,0.1875,1993
160,12041,orissa-nayagarh,6,F10,0.0000,1993
161,7525,orissa-kendrapara,6,F10,0.5000,1993
162,15279,orissa-kalahandi,6,F10,-0.2000,1993
163,4751,orissa-bargarh,6,F10,0.4167,1993
164,8087,orissa-balangir,6,F10,0.1875,1993
165,25328,orissa-ganjam,6,F10,0.0000,1993
166,3967,orissa-mayurbhanj,6,F10,0.1875,1993
167,5508,orissa-baleshwar,6,F10,0.1875,1993
168,11776,orissa-cuttack,6,F10,0.4167,1993
169,4317,orissa-bhadrak,6,F10,0.1875,1993
170,4349,orissa-sambalpur,6,F10,0.1875,1993
171,15793,orissa-kandhamal,6,F10,-0.5833,1993
172,11235,orissa-khordha,6,F10,0.1875,1993
173,13746,orissa-puri,6,F10,0.0938,1993
174,2314,orissa-debagarh,6,F10,-0.5833,1993
175,865,orissa-jharsuguda,6,F10,2.1875,1993
176,4715,orissa-nabarangapur,6,F10,0.1875,1993
177,3070,orissa-nuapada,6,F10,0.4167,1993
178,6822,orissa-jajapur,6,F10,0.4167,1993
179,8205,orissa-jagatsinghapur,6,F10,0.7143,1993
180,163,orissa-nuapada,7,F10,-1.0000,1993
181,8035,orissa-puri,7,F10,-1.0000,1993
182,2033,orissa-kendujhar,7,F10,-1.5000,1993
