,count,key,month,satellite,vis_median,year
88,18667,tamilnadu-thanjavur,3,F10,-0.1263,1993
89,20696,tamilnadu-kancheepuram,3,F10,-0.1263,1993
90,28622,tamilnadu-viluppuram,3,F10,-0.0118,1993
91,13399,tamilnadu-salem,3,F10,1.4189,1993
92,8767,tamilnadu-namakkal,3,F10,0.7368,1993
93,12156,tamilnadu-thiruvallur,4,F10,2.2115,1993
94,2581,tamilnadu-dindigul,4,F10,0.2115,1993
95,7842,tamilnadu-krishnagiri,4,F10,-0.7358,1993
96,263,tamilnadu-the-nilgiris,4,F10,0.0545,1993
97,2001,tamilnadu-perambalur,4,F10,-1.3509,1993
98,14198,tamilnadu-vellore,4,F10,1.2400,1993
99,4698,tamilnadu-thoothukkudi,4,F10,-0.0133,1993
100,22675,tamilnadu-tiruvannamalai,4,F10,0.0545,1993
101,4136,tamilnadu-erode,4,F10,0.2642,1993
102,9115,tamilnadu-dharmapuri,4,F10,-1.1569,1993
103,4772,tamilnadu-namakkal,4,F10,-0.3585,1993
104,655,tamilnadu-theni,4,F10,-0.0133,1993
105,25692,tamilnadu-viluppuram,4,F10,0.4211,1993
106,13121,tamilnadu-thanjavur,4,F10,0.7167,1993
107,11450,tamilnadu-pudukkottai,4,F10,-1.0133,1993
108,1874,tamilnadu-karur,4,F10,-0.7358,1993
109,2661,tamilnadu-tiruppur,4,F10,1.0545,1993
110,19042,tamilnadu-kancheepuram,4,F10,0.8431,1993
111,8109,tamilnadu-thiruvarur,4,F10,1.2115,1993
112,4276,tamilnadu-madurai,4,F10,-0.7358,1993
113,13222,tamilnadu-cuddalore,4,F10,0.6415,1993
114,7396,tamilnadu-salem,4,F10,-0.2833,1993
115,7727,tamilnadu-nagapattinam,4,F10,0.9867,1993
116,4918,tamilnadu-tirunelveli,4,F10,0.9867,1993
117,5320,tamilnadu-tiruchirappalli,4,F10,-0.7358,1993
118,4744,tamilnadu-virudhunagar,4,F10,-0.7358,1993
119,2900,tamilnadu-ariyalur,4,F10,-0.5789,1993
120,773,tamilnadu-kanniyakumari,4,F10,2.0545,1993
121,5821,tamilnadu-sivaganga,4,F10,-1.0133,1993
122,4658,tamilnadu-ramanathapuram,4,F10,-1.0133,1993
123,1932,tamilnadu-coimbatore,4,F10,1.6491,1993
124,350,tamilnadu-kanniyakumari,5,F10,4.6368,1993
125,3285,tamilnadu-thoothukkudi,5,F10,1.0000,1993
126,5550,tamilnadu-nagapattinam,5,F10,1.4737,1993
127,3063,tamilnadu-namakkal,5,F10,0.6744,1993
128,4887,tamilnadu-salem,5,F10,0.6744,1993
129,2580,tamilnadu-ariyalur,5,F10,0.4737,1993
130,18605,tamilnadu-tiruvannamalai,5,F10,0.4516,1993
131,1549,tamilnadu-coimbatore,5,F10,2.1176,1993
132,10325,tamilnadu-pudukkottai,5,F10,0.6744,1993
133,11719,tamilnadu-thanjavur,5,F10,1.4737,1993
134,10703,tamilnadu-thiruvallur,5,F10,2.4286,1993
135,2202,tamilnadu-erode,5,F10,1.1176,1993
